"DITA File Path","Document Type","Schematron Name","Severity","Gate","Rule Code","Error / Warning Description"
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 16 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Before using AirPods, review the AirPods User Avoid Hearing DamageGuide at support.apple.com/guide/airpods. Retain documentation for future reference.WARNING: To prevent possible hearing damage, do not listen at Safety and Handlinghigh volume levels for long periods. See “Safety, handling, and support” in the More information about sound AirPods User Guide. AirPods and the heart rate and hearing is available online at sensor are not medical devices.apple.com/sound and in “Important safety and handling information” in Batteries and Chargingthe AirPods User Guide.AirPods and case batteries should only be repaired by a trained technician to Medical Device Interferenceavoid battery damage, which could cause AirPods and case contain magnets as well as overheating, fire, or injury. Batteries should components and/or radios that may interfere be recycled or disposed of separately from with medical devices. See “Important safety household waste and according to local and handling information” in the AirPods environmental laws and guidelines. For User Guide.information about Apple lithium-ion batteries, go to apple.com/batteries. For information Choking Hazardabout charging, see “Important safety AirPods, case, and small parts included with and handling information” in the AirPods AirPods may present a choking hazard or User Guide.cause other injury to small children. Keep them away from small children."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 15 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""CleaningBatteries et chargeClean AirPods regularly. Device performance Les batteries des AirPods et de l’étui doivent and features like Active Noise Cancellation être réparées uniquement par un technicien can be affected if debris or earwax builds qualifié pour éviter d’endommager les up. AirPods can lead to skin irritation if not batteries, ce qui pourrait provoquer une properly cleaned. For information on how to surchauffe, un incendie ou des blessures. clean your device and other tips to avoid skin Les batteries doivent être recyclées ou irritation, go to apple.com/support. If a skin éliminées séparément des déchets ménagers problem develops, discontinue use. If the et conformément aux lois et directives problem persists, consult a physician.environnementales locales. Pour en savoir plus sur les batteries lithium-ion d’Apple, consultez apple.com/batteries. Pour en savoir plus sur la charge, consultez « Informations importantes Avant d’utiliser les AirPods, consultez le Guide sur la sécurité et la manipulation » dans le d’utilisation des AirPods sur support.apple.com/ Guide d’utilisation des AirPods.guide/airpods. Conservez la documentation Éviter les pertes d’auditionpour de futures références.AVERTISSEMENT : Pour éviter les Sécurité et manipulationpertes d’audition, n’utilisez pas Consultez la section « Sécurité, manipulation et assistance » dans le Guide d’utilisation vos AirPods à un volume élevé des AirPods. Les AirPods et le capteur pendant des périodes prolongées. Des informations sur le son et de fréquence cardiaque ne sont pas des l’audition sont disponibles en dispositifs médicaux.ligne sur apple.com/sound et dans « Informations importantes sur la sécurité et la manipulation » du Guide d’utilisation des AirPods ."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\1fb48b8d-474a-4261-9aac-baa888ee0b2a\output\airpodspro3info.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 6 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""siempre fuera del alcance de los niños.Sicurezza e utilizzoADVERTENCIA: Si usas el estuche de carga Consulta “Sicurezza, utilizzo e supporto” nel con una correa u otro cordón, ten cuidado de Manuale utente di AirPods. Gli AirPods e il que la correa o el cordón no se enganche con sensore della frequenza cardiaca non sono un otros objetos.dispositivo medico.LimpiezaBatterie e ricaricaLimpia regularmente los AirPods. El rendimiento Le batterie degli AirPods e delle custodie del dispositivo y funciones como el modo de devono essere riparate solo da un tecnico cancelación de ruido pueden verse afectados specializzato per evitare danni alle batterie che si se acumula suciedad o cerumen. Los AirPods potrebbero causare surriscaldamento, incendi pueden producir irritación cutánea si no se"""
