"DITA File Path","Document Type","Schematron Name","Severity","Gate","Rule Code","Error / Warning Description"
"/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita","CONCEPT","concept_structural_rules.sch","WARNING","Gate 2","CONCEPT-009","[CONCEPT-009] <conbody> is empty. Add conceptual content."
"/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/sibapiv3sdk_and_strapiprovideremailsendinblue.dita","CONCEPT","concept_structural_rules.sch","WARNING","Gate 2","CONCEPT-009","[CONCEPT-009] <conbody> is empty. Add conceptual content."
"/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report.ditamap","MAP","map_structural_rules.sch","WARNING","Gate 2","MAP-001","[MAP-001] <map> root element should have an @id attribute."
"/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npmnetworksurfacereport.ditamap","MAP","map_validation.sch","ERROR","Gate 1","","Error: Attribute ""navtitle"" on <mapref> is not permitted in a DITA 2.0 map document."
"/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npmnetworksurfacereport.ditamap","MAP","map_structural_rules.sch","WARNING","Gate 2","MAP-001","[MAP-001] <map> root element should have an @id attribute."
"/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npmnetworksurfacereport.ditamap","MAP","DITA2_content_model.sch","ERROR","Gate 3","CM-MAP","[CM-MAP] <mapref> is not a permitted child of <map> per the DITA 2.0 DTD. Permitted children: title topicmeta anchor data data-about navref reltable topicref."
