DITA File,XSLT,Status,Time (ms),Error,Output File
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita,fix_p_warning_to_note.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita,fix_consecutive_p_to_list.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita,table.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita,concept.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_outbound_apinetwork_calls.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita,fix_p_warning_to_note.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita,fix_consecutive_p_to_list.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita,table.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita,topic.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/findings_packages_that_open_listener_ports.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita,fix_p_warning_to_note.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita,fix_consecutive_p_to_list.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita,table.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita
