"DITA File Path","Document Type","Schematron Name","Severity","Gate","Rule Code","Error / Warning Description"
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1165 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""keep records in this regard and also keep a watch on Shunting operations."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1164 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""prior permission from his superiors."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1163 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""VII Duty list and hours of duty:"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1162 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""employment regulations in consultation with Sr.DOM/DOM/ Sr.DCM/DCM). Copies of these duty hours (roaster) must be displayed at each station"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1161 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""only when properly relieved. Such duty hours shall not be exchanged without the permission of the Station Master."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1160 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""attendance of staff at his station in Attendance Register."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1157 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""train working without satisfying himself after detailed oral examination about the knowledge of concerned staff .He must satisfy that the employee –"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1156 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""time, the pickup period is generally laid down by the DRM(Safety). However, following guidelines can be observed on first posting or when there is change of system/means of working of trains –"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1155 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""If employee fails to give declaration in fixed period, he must be directed for Refresher Training at his expense."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1151 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""including telephone /mobile phone no. of each member of the staff employed at his station."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1150 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""contractors coolies or any other persons working at station other than railway employees must be maintained along with their up to date address and telephone nos, blood group if available and office copy of their Photo Identity cards. Entry of such persons into station area will be permitted only after checking the I Card. Public and Staff notices for exhibition: The following Notices and Publications, besides those, which may be ordered from time to time, shall be exhibited at each station in conspicuous places."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1149 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""The Station Manager must be careful to see that out dated timetables and notices are removed and replaced with current ones. He should also ensure that the telephone nos. are updated from time to time. Exhibition of public advertisements:"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1148 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""other form should not be allowed to be exhibited at any place within the station limit or premises without the written permission of the competent officer of commercial publicity branch etc. The Station Master will maintain a register showing full particulars of each advertisement exhibited at the station in the prescribed form."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1145 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""available to staff for reference. (G&SR 2.01, 5.02 and 5.03.)"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1144 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""maintained and that they are not used for purposes other than those for which they are printed and supplied."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1143 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""submission in time."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1142 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Station Records:"""
